speaker,source,segment_id,timestamp,text
"Speaker 1",system_audio,"e7388e86-8219-48dd-834e-5e98c83150ca",2026-05-17T18:59:45,"e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi? e vedi?"
"Speaker 1",system_audio,"9b43f325-d90e-4018-b17d-b3f69f64e66f",2026-05-17T18:59:56,"questa fase iniziale in cui ci farà fare un po' un tour di tutta la struttura. Benvenuti allora partiamo un po' con la..."
"Speaker 1",system_audio,"d1b55619-dcdc-4752-b82b-008e9e2b37a9",2026-05-17T19:00:12,"video di presentazione tutto quello che è la struttura da Robbiani. Come garage io sono responsabile della rete, mi occupo del del Marchio Ford per tutto il cantono Eticino, abbiamo ancora Hyundai, Peugeot e Subaru. Iniziamo con una struttura virtuale su tutti i piani. Quanti piani ci sono? Di piani ne abbiamo"
"Speaker 1",system_audio,"81880174-4e71-45f2-962b-be3a5a259431",2026-05-17T19:00:26,"e abbiamo poi tutto quello che è in esterno. Il Piano Terreno è dedicato come concioglione principale a tutto quello che è il Marchio Ford. Ci vedo un paio di Mustang interessanti. Abbiamo sia dalla versione chiusa la storica fassback emozionale, il cabrio, però con la stagione..."
"Speaker 1",system_audio,"ee54a86e-485b-4815-bac4-e09549622a48",2026-05-17T19:00:41,"No, adesso il metodo non è adatto, però sicuro perché siamo sfortunati oggi. Poi che abbiamo amante chi vuole la Mustang ma un'anima più green, abbiamo anche la versione in full electric che devo dire anche perché la odia, ma tanta roba devo dire."
"Speaker 1",system_audio,"86d511db-932a-4237-85a1-5faf866fa84f",2026-05-17T19:00:57,"Sì, tu l'hai provata? Assolutamente sì. Ti piace? Allora, devo dire che è un veicolo che vale la pena. Non perché vendo Ford, ma se dovessi acquistare un'elettrica, no, se dovessi acquistare un'elettrica, sinceramente, è un veicolo che tenderei a consigliare molto perché la cosa bella è che ne hanno lasciato l'ignoranza. Non è..."
"Speaker 1",system_audio,"260a8b08-a386-4f15-a2b8-293d7aef2721",2026-05-17T19:01:12,"bistoli chirurgico, ma è un giunto quei difetti che quando la guidi ti lascia ancora un'emozione dunque non è un veicolo che rimane noioso. Non è un go kart? No è un go kart ma non è noioso. Il solito lato elettrico tende a essere silenziosa, precisa, un bistoli mentre quella ti permette di scodare, ti permette di..."
"Speaker 1",system_audio,"36773360-f6f8-4d79-b66c-9c6c893161af",2026-05-17T19:01:27,"divertirti, a lasciarti qualcosa che ti lascia un po' di emozione. Che sei soddisfatto? Sono stato distratto da quella geggio lì che magari poi ci mostri. Dopo veniamo a pro una più che volentieri, qui partiamo dal lato a Peugeot che abbiamo qua la nostra parete Peugeot, poi abbiamo anche..."
"Speaker 1",system_audio,"c15d95b3-32a4-4e0c-8866-189e9a797946",2026-05-17T19:01:42,"La trina con vista, lo ho non so cosa più bello da vedere, il bongustai naturalmente è visto una delle GT40 che ne abbiamo due, ma scusa di quelle quante ne esistono? Poche. Quella è un modello molto particolare come GT40 che è una versione l'Emanza. Storicamente ci fu una diattriba tra"
"Speaker 1",system_audio,"f8ffbcdc-f9f8-497f-b8cb-ac87882745ac",2026-05-17T19:01:57,"Enzo Ferrari ed Henry Ford in punto di questo circuito di Le Mans. Ferrari ha sempre dominato negli anni e Henry Ford giugno decise di dire basta di dare un qualcosa che faccia la differenza fare la differenza che cosa vuol dire un veicolo che potesse vincere"
"Speaker 1",system_audio,"283ce15c-2228-4336-97bc-09fb3aa573ad",2026-05-17T19:02:12,"Ho provato un giovane Rolls-Shellby, questo costruttore di auto, pilota da prima che ha gli evatori di polli. Classica carriera che uno fa prima di... Giustamente, dal Pollaio alla pista. Certo, i polli sono veloci, assolutamente. Dall'ì inizio a costruire questo veicolo GT."
"Speaker 1",system_audio,"b75607ae-f7f5-45f2-ad63-b37b080adf02",2026-05-17T19:02:27,"GT come versione di questo gran turismo, 40 alla altezza di pollici da terra, per cui con questo veicolo Henry Ford vinse per tre volte consecutivamente con questo modello. Le Mans perché sono state realizzate una serie limitatissima, questo è stato completamente in carbonio."
"Speaker 1",system_audio,"757f2146-6a3b-4605-9c22-f2e90bd80e06",2026-05-17T19:02:42,"e tutta la parte che vediamo in blu è stata presa una GT40 del 1960 del 1967 se niente sta macinata come prank e stai ricostruiti in omaggio al modello che furono. Questi GT40 si riconoscono dalla scritta che è completamente grigia in un blu come logo per"
"Speaker 1",system_audio,"816a3718-2163-4cb9-a8df-111f52328fcb",2026-05-17T19:02:57,"dare il logo storico ed abbiamo anche la sua bella scritta da Le Mans sul posteriore GTLM Le Mans. Scarichi molto sobri devo dire. Assolutamente qua paccati sempre. Io ti faccio la domanda perché tanto te la faccio quanto costa. Abbastanza."
"Speaker 1",system_audio,"bc50eeec-26f1-4cee-9f9f-3d79ab782bdf",2026-05-17T19:03:12,"po' benzo milione un po' di più vai per quattro però perché è super limitato immagino assolutamente sì qua parliamo di un 20 esemplari al mondo pensavo vinta e venta pensavo massimo 20 esemplari al mondo e buona vede questa no dilema su una e ne abbiamo una serie carbo"
"Speaker 1",system_audio,"94f56fa4-53e4-4186-8421-94fd815523e6",2026-05-17T19:03:27,"che vi mostreranno un secondo tempo, anche una sede speciale. Allora questo denota sicuramente passione perché acquistare un brand, acquistare un marchio e investire un veicolo così particolare denota passione e questo è un po' quello che noi vogliamo dare come immagine."
"Speaker 1",system_audio,"dcf12a5c-6fd0-46e2-9f91-14d4baa18a42",2026-05-17T19:03:42,"come passione del veicolo. Da poi ci spostiamo sull'altro reparto perché qua ho l'umensale passione che abbiamo un reparto delicato all'altro marchio, Hyundai che rappresentiamo. Quanti marchi avete qui? Abbiamo quattro marchi, Ford con ce signore principale per il cantoneticino, Peugeot che"
"Speaker 1",system_audio,"616c928a-39e9-4f63-859b-3bda2a8ebd6f",2026-05-17T19:03:57,"che siamo concessionari ufficiale, su Baru che siamo concessionari ufficiale ed abbiamo come sottogente Hyundai per questo marchio. Ok, possiamo andare anche di là? Certo, ora dimostro l'altro angolo. A parte è grande questa che è insensata, cioè io da vicino non l'avevo ancora visto."

timestamp,description,assignee,status

